#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:37Z,23.4,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:38Z,23.38,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:39Z,23.37,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:40Z,23.36,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:41Z,23.35,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:42Z,23.34,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:43Z,23.34,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:44Z,23.32,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:45Z,23.32,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:46Z,23.31,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:47Z,23.3,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:48Z,23.3,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:49Z,23.29,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:50Z,23.28,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:51Z,23.28,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:52Z,23.27,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:53Z,23.26,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:54Z,23.26,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:55Z,23.25,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:56Z,23.24,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:57Z,23.23,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:58Z,23.22,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:43:59Z,23.21,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:00Z,23.21,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:01Z,23.2,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:02Z,23.19,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:03Z,23.19,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:04Z,23.18,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:05Z,23.17,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:06Z,23.16,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:07Z,23.15,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:08Z,23.15,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:09Z,23.14,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:10Z,23.13,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:11Z,23.12,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:12Z,23.12,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:14Z,23.11,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:15Z,23.11,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:16Z,23.1,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:17Z,23.09,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:18Z,23.09,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:19Z,23.08,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:20Z,23.08,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:21Z,23.07,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:22Z,23.06,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:23Z,23.06,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:24Z,23.06,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:25Z,23.05,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:44:26Z,23.05,value,temperature
